Generic-IO 1024-2 0 2 3.04328 0.01439 45920 6.48957 0.00584292 39760 31195136 3 enable disable disable enable 48234496 
Generic-IO 1024-2 0 2 0.788435 0.0522828 43224 7.55929 0.00501609 39760 10747904 16 enable disable disable enable 180355072 
Generic-IO 1024-2 0 2 1.89825 0.0230701 45920 3.13633 0.01209 39760 19005440 16 enable disable disable disable 133169152 
Generic-IO 1024-2 0 2 3.33763 0.0131209 45920 3.98008 0.00952697 39760 30343168 4 disable disable disable disable 533725184 
Generic-IO 1024-2 0 2 1.48004 0.0295889 45920 7.19117 0.00527287 39760 24182784 19 disable enable enable enable 432013312 
Generic-IO 1024-2 0 2 2.30043 0.0190368 45920 2.27122 0.016695 39760 9175040 8 enable enable disable enable 273678336 
Generic-IO 1024-2 0 2 3.43199 0.0127602 45920 10.8183 0.00350499 39760 22544384 9 enable disable disable disable 424673280 
Generic-IO 1024-2 0 2 2.13706 0.0204921 45920 6.86405 0.00552416 39760 30670848 10 enable disable enable disable 310378496 
Generic-IO 1024-2 0 2 2.18625 0.020031 45920 7.45547 0.00508595 39760 2293760 14 disable enable enable disable 34603008 
Generic-IO 1024-2 0 2 2.21208 0.0197971 45920 4.29478 0.00882888 39760 8650752 13 enable enable disable disable 224395264 
Generic-IO 1024-2 0 2 1.86194 0.02352 45920 11.5046 0.0032959 39760 28442624 15 enable enable disable enable 39845888 
Generic-IO 1024-2 0 2 2.14344 0.020431 45920 6.31663 0.0060029 39760 32899072 19 enable disable enable disable 108003328 
Generic-IO 1024-2 0 2 3.45803 0.0126641 45920 3.84638 0.00985813 39760 18808832 0 enable disable disable disable 450887680 
Generic-IO 1024-2 0 2 3.78106 0.0115821 45920 3.82934 0.009902 39760 30605312 1 enable disable enable enable 101711872 
Generic-IO 1024-2 0 2 2.55498 0.0171402 45920 11.3632 0.00333691 39760 5898240 16 disable disable disable enable 290455552 
Generic-IO 1024-2 0 2 2.42003 0.018096 45920 11.4491 0.00331187 39760 4653056 13 enable enable enable disable 351272960 
Generic-IO 1024-2 0 2 2.95657 0.014812 45920 11.4212 0.00331998 39760 14352384 8 enable disable disable disable 476053504 
Generic-IO 1024-2 0 2 0.646938 0.0637181 43224 9.65341 0.00392795 39760 28508160 2 enable disable enable enable 159383552 
Generic-IO 1024-2 0 2 1.90811 0.0229509 45920 7.95598 0.00476599 39760 12451840 18 enable enable enable enable 356515840 
Generic-IO 1024-2 0 2 3.13838 0.0139539 45920 10.2593 0.00369596 39760 12845056 6 disable disable enable enable 216006656 
Generic-IO 1024-2 0 2 3.12695 0.0140049 45920 6.17463 0.00614095 39760 31260672 7 enable disable enable enable 501219328 
Generic-IO 1024-2 0 2 2.81192 0.015574 45920 7.80679 0.00485706 39760 9109504 7 disable enable disable disable 359661568 
Generic-IO 1024-2 0 2 2.05128 0.021349 45920 8.34461 0.00454402 39760 29032448 19 enable enable enable disable 466616320 
Generic-IO 1024-2 0 2 2.09305 0.0209229 45920 8.1056 0.00467801 39760 10813440 15 enable disable enable enable 295698432 
Generic-IO 1024-2 0 2 2.32051 0.018872 45920 2.47491 0.015321 39760 21561344 14 enable enable enable enable 511705088 
Generic-IO 1024-2 0 2 2.47641 0.017684 45920 7.67568 0.00494003 39760 20709376 8 enable disable disable enable 262144000 
Generic-IO 1024-2 0 2 2.23787 0.0195689 45920 7.99276 0.00474405 39760 3407872 14 enable enable disable enable 383778816 
Generic-IO 1024-2 0 2 2.28515 0.0191641 45920 7.43942 0.00509691 39760 6356992 6 enable disable disable disable 250609664 
Generic-IO 1024-2 0 2 2.38146 0.018389 45920 8.69261 0.00436211 39760 24117248 16 enable disable disable disable 149946368 
Generic-IO 1024-2 0 2 3.13811 0.0139551 45920 8.83654 0.00429106 39760 3407872 8 disable enable enable disable 507510784 
Generic-IO 1024-2 0 2 3.28035 0.01335 45920 4.04116 0.00938296 39760 14352384 5 disable disable disable enable 227540992 
Generic-IO 1024-2 0 2 2.82367 0.0155091 45920 10.0417 0.00377607 39760 917504 10 enable enable disable disable 387973120 
